"Subject" "Age" "SubjNo" "Age..months." "Gender" "CELF.Score" "Trials.Completed" "u" "u_s" "u_t" "mean" "beta_t0" "beta_t1" "beta_t2" "beta_t3" "beta_t4" "beta_t5" "beta_t6" "beta_t7" "beta_t8" "beta_t9" "beta_t10" "beta_t11" "beta0" "beta1" "beta2" "beta3" "beta4" "beta5" "beta6" "beta7" "beta8" "beta9" "beta10" "beta11" "full_t" "inv_full_t" "full_mu"
"1" "Adult1" "Adult" 1 NA NA NA 96 -0.248517501925787 0.453691936284418 0.220230469116656 -0.481669530216486 -1.15370794125713 -0.0983293470476149 0.0970259941624472 0.78923699030014 0.854367850251204 0.223834818868423 0.126648525463041 0.0924903301710163 0.0396390365563983 0.0975211735450277 -0.174057196041958 -0.10309852465654 -0.709218846027545 0.0786676365487749 0.0467876120292305 -0.0954837735869201 -0.0781301222394608 -0.0393360524526089 0.0287805524140344 0.0317784097894213 0.010613476738831 0.0615185536622124 0.0390153024009056 -0.0109854770671893 -0.933477472140472 0.393184043704961 -0.957736347953332
"2" "Adult10" "Adult" 10 NA NA NA 96 0.0532159218792405 -0.183504553258259 0.281927787727065 -0.15248457962264 -1.15370794125713 -0.0983293470476149 0.0970259941624472 0.78923699030014 0.854367850251204 0.223834818868423 0.126648525463041 0.0924903301710163 0.0396390365563983 0.0975211735450277 -0.174057196041958 -0.10309852465654 -0.709218846027545 0.0786676365487749 0.0467876120292305 -0.0954837735869201 -0.0781301222394608 -0.0393360524526089 0.0287805524140344 0.0317784097894213 0.010613476738831 0.0615185536622124 0.0390153024009056 -0.0109854770671893 -0.871780153530064 0.418206414592138 -0.656002924148305
"3" "Adult11" "Adult" 11 NA NA NA 96 0.0440199910971086 -0.189478391559727 -0.488267209361493 -0.406207052679924 -1.15370794125713 -0.0983293470476149 0.0970259941624472 0.78923699030014 0.854367850251204 0.223834818868423 0.126648525463041 0.0924903301710163 0.0396390365563983 0.0975211735450277 -0.174057196041958 -0.10309852465654 -0.709218846027545 0.0786676365487749 0.0467876120292305 -0.0954837735869201 -0.0781301222394608 -0.0393360524526089 0.0287805524140344 0.0317784097894213 0.010613476738831 0.0615185536622124 0.0390153024009056 -0.0109854770671893 -1.64197515061862 0.193597280620772 -0.665198854930437
"4" "Adult12" "Adult" 12 NA NA NA 96 0.0223356267255359 0.144830664626354 0.834230749774507 0.145906645998978 -1.15370794125713 -0.0983293470476149 0.0970259941624472 0.78923699030014 0.854367850251204 0.223834818868423 0.126648525463041 0.0924903301710163 0.0396390365563983 0.0975211735450277 -0.174057196041958 -0.10309852465654 -0.709218846027545 0.0786676365487749 0.0467876120292305 -0.0954837735869201 -0.0781301222394608 -0.0393360524526089 0.0287805524140344 0.0317784097894213 0.010613476738831 0.0615185536622124 0.0390153024009056 -0.0109854770671893 -0.319477191482621 0.726528773231159 -0.686883219302009
"5" "Adult13" "Adult" 13 NA NA NA 96 0.489602964961372 -0.143119128278677 -0.609373901270089 0.0142260108133471 -1.15370794125713 -0.0983293470476149 0.0970259941624472 0.78923699030014 0.854367850251204 0.223834818868423 0.126648525463041 0.0924903301710163 0.0396390365563983 0.0975211735450277 -0.174057196041958 -0.10309852465654 -0.709218846027545 0.0786676365487749 0.0467876120292305 -0.0954837735869201 -0.0781301222394608 -0.0393360524526089 0.0287805524140344 0.0317784097894213 0.010613476738831 0.0615185536622124 0.0390153024009056 -0.0109854770671893 -1.76308184252722 0.171515464826311 -0.219615881066173
"6" "Adult14" "Adult" 14 NA NA NA 96 0.123354010861389 -0.0361297603054984 -0.604753629546449 -0.346325745485578 -1.15370794125713 -0.0983293470476149 0.0970259941624472 0.78923699030014 0.854367850251204 0.223834818868423 0.126648525463041 0.0924903301710163 0.0396390365563983 0.0975211735450277 -0.174057196041958 -0.10309852465654 -0.709218846027545 0.0786676365487749 0.0467876120292305 -0.0954837735869201 -0.0781301222394608 -0.0393360524526089 0.0287805524140344 0.0317784097894213 0.010613476738831 0.0615185536622124 0.0390153024009056 -0.0109854770671893 -1.75846157080358 0.172309746363925 -0.585864835166156
"7" "Adult15" "Adult" 15 NA NA NA 96 0.175465059071997 0.106556880542169 0.332312107547864 -0.0171732684680811 -1.15370794125713 -0.0983293470476149 0.0970259941624472 0.78923699030014 0.854367850251204 0.223834818868423 0.126648525463041 0.0924903301710163 0.0396390365563983 0.0975211735450277 -0.174057196041958 -0.10309852465654 -0.709218846027545 0.0786676365487749 0.0467876120292305 -0.0954837735869201 -0.0781301222394608 -0.0393360524526089 0.0287805524140344 0.0317784097894213 0.010613476738831 0.0615185536622124 0.0390153024009056 -0.0109854770671893 -0.821395833709265 0.439817314014342 -0.533753786955548
"8" "Adult16" "Adult" 16 NA NA NA 96 0.0395599163338286 -0.198726948997042 0.398578802384749 -0.10448996855907 -1.15370794125713 -0.0983293470476149 0.0970259941624472 0.78923699030014 0.854367850251204 0.223834818868423 0.126648525463041 0.0924903301710163 0.0396390365563983 0.0975211735450277 -0.174057196041958 -0.10309852465654 -0.709218846027545 0.0786676365487749 0.0467876120292305 -0.0954837735869201 -0.0781301222394608 -0.0393360524526089 0.0287805524140344 0.0317784097894213 0.010613476738831 0.0615185536622124 0.0390153024009056 -0.0109854770671893 -0.755129138872379 0.469949922008725 -0.669658929693717
"9" "Adult17" "Adult" 17 NA NA NA 96 -0.400870028318639 0.290961538764045 0.179038927435065 -0.654909352296426 -1.15370794125713 -0.0983293470476149 0.0970259941624472 0.78923699030014 0.854367850251204 0.223834818868423 0.126648525463041 0.0924903301710163 0.0396390365563983 0.0975211735450277 -0.174057196041958 -0.10309852465654 -0.709218846027545 0.0786676365487749 0.0467876120292305 -0.0954837735869201 -0.0781301222394608 -0.0393360524526089 0.0287805524140344 0.0317784097894213 0.010613476738831 0.0615185536622124 0.0390153024009056 -0.0109854770671893 -0.974669013822063 0.377317219681949 -1.11008887434618
"10" "Adult18" "Adult" 18 NA NA NA 96 -0.00213348484091191 -0.326381971780916 -0.530134672477368 -0.46524037925648 -1.15370794125713 -0.0983293470476149 0.0970259941624472 0.78923699030014 0.854367850251204 0.223834818868423 0.126648525463041 0.0924903301710163 0.0396390365563983 0.0975211735450277 -0.174057196041958 -0.10309852465654 -0.709218846027545 0.0786676365487749 0.0467876120292305 -0.0954837735869201 -0.0781301222394608 -0.0393360524526089 0.0287805524140344 0.0317784097894213 0.010613476738831 0.0615185536622124 0.0390153024009056 -0.0109854770671893 -1.6838426137345 0.185659187047855 -0.711352330868457
